Agency,Created Date,Month,Complaint Type,Time,Borough
NYPD,2015-05-21 20:40:35,May,Blocked Driveway,0 days 02:38:58.000000000,BROOKLYN
NYPD,2015-09-26 01:34:39,Sep,Blocked Driveway,0 days 05:02:49.000000000,BROOKLYN
NYPD,2015-04-26 20:32:00,Apr,Blocked Driveway,0 days 01:30:06.000000000,BROOKLYN
NYPD,2015-09-25 11:47:57,Sep,Blocked Driveway,0 days 09:13:34.000000000,BROOKLYN
NYPD,2015-09-13 15:55:11,Sep,Blocked Driveway,0 days 01:14:28.000000000,BROOKLYN
NYPD,2015-04-22 12:53:47,Apr,Blocked Driveway,0 days 00:15:42.000000000,BROOKLYN
NYPD,2015-06-20 22:35:57,Jun,Blocked Driveway,0 days 00:27:26.000000000,BROOKLYN
NYPD,2015-02-23 14:57:13,Feb,Blocked Driveway,0 days 09:11:58.000000000,BROOKLYN
NYPD,2015-02-23 16:46:36,Feb,Blocked Driveway,0 days 01:29:59.000000000,BROOKLYN
NYPD,2015-02-24 01:39:11,Feb,Blocked Driveway,0 days 00:16:53.000000000,BROOKLYN
NYPD,2015-02-24 17:04:39,Feb,Blocked Driveway,0 days 01:25:30.000000000,BROOKLYN
NYPD,2015-09-27 16:31:58,Sep,Blocked Driveway,0 days 02:41:17.000000000,BROOKLYN
NYPD,2015-02-12 14:55:19,Feb,Blocked Driveway,0 days 00:41:53.000000000,BROOKLYN
NYPD,2015-09-20 18:04:34,Sep,Blocked Driveway,0 days 03:06:35.000000000,BROOKLYN
NYPD,2015-09-25 21:11:49,Sep,Blocked Driveway,0 days 08:48:44.000000000,BROOKLYN
NYPD,2015-09-20 22:56:10,Sep,Blocked Driveway,0 days 01:20:27.000000000,BROOKLYN
NYPD,2015-07-03 23:09:16,Jul,Blocked Driveway,0 days 02:10:20.000000000,BROOKLYN
NYPD,2015-09-25 13:28:53,Sep,Blocked Driveway,0 days 02:44:22.000000000,BROOKLYN
NYPD,2015-11-28 11:38:06,Nov,Blocked Driveway,0 days 03:09:26.000000000,BROOKLYN
NYPD,2015-09-13 04:48:09,Sep,Blocked Driveway,0 days 02:42:24.000000000,BROOKLYN
NYPD,2015-11-28 18:46:53,Nov,Blocked Driveway,0 days 02:12:35.000000000,BROOKLYN
NYPD,2015-09-14 17:16:05,Sep,Blocked Driveway,0 days 01:05:31.000000000,BROOKLYN
NYPD,2015-04-18 04:03:10,Apr,Blocked Driveway,0 days 09:30:10.000000000,BROOKLYN
NYPD,2015-09-15 22:21:13,Sep,Blocked Driveway,0 days 00:27:25.000000000,BROOKLYN
NYPD,2015-08-06 13:34:34,Aug,Blocked Driveway,0 days 02:33:53.000000000,BROOKLYN
NYPD,2015-09-15 22:18:45,Sep,Blocked Driveway,0 days 00:47:02.000000000,BROOKLYN
NYPD,2015-05-11 22:11:46,May,Blocked Driveway,0 days 01:50:33.000000000,BROOKLYN
NYPD,2015-05-11 19:10:00,May,Blocked Driveway,0 days 04:51:13.000000000,BROOKLYN
NYPD,2015-09-14 21:07:08,Sep,Blocked Driveway,0 days 02:48:39.000000000,BROOKLYN
NYPD,2015-02-07 14:08:47,Feb,Blocked Driveway,0 days 01:25:12.000000000,BROOKLYN
NYPD,2015-02-17 12:29:45,Feb,Blocked Driveway,0 days 01:38:11.000000000,BROOKLYN
NYPD,2015-09-14 07:07:00,Sep,Blocked Driveway,0 days 01:57:58.000000000,BROOKLYN
NYPD,2015-06-13 16:37:53,Jun,Blocked Driveway,0 days 10:07:55.000000000,BROOKLYN
NYPD,2015-05-23 14:37:09,May,Blocked Driveway,0 days 08:27:02.000000000,BROOKLYN
NYPD,2015-06-23 13:18:16,Jun,Blocked Driveway,0 days 06:14:56.000000000,BROOKLYN
NYPD,2015-09-26 01:37:37,Sep,Blocked Driveway,0 days 06:20:48.000000000,BROOKLYN
NYPD,2015-07-20 23:52:43,Jul,Blocked Driveway,0 days 05:05:34.000000000,BROOKLYN
NYPD,2015-11-28 14:49:54,Nov,Blocked Driveway,0 days 02:08:21.000000000,BROOKLYN
NYPD,2015-09-25 06:57:12,Sep,Blocked Driveway,0 days 01:27:34.000000000,BROOKLYN
NYPD,2015-02-11 07:34:36,Feb,Blocked Driveway,0 days 01:31:27.000000000,BROOKLYN
NYPD,2015-04-24 11:42:53,Apr,Blocked Driveway,0 days 01:34:59.000000000,BROOKLYN
NYPD,2015-09-25 14:57:08,Sep,Blocked Driveway,0 days 02:49:08.000000000,BROOKLYN
NYPD,2015-04-23 09:20:04,Apr,Blocked Driveway,0 days 00:28:48.000000000,BROOKLYN
NYPD,2015-04-23 13:54:21,Apr,Blocked Driveway,0 days 01:47:36.000000000,BROOKLYN
NYPD,2015-09-11 11:53:51,Sep,Blocked Driveway,0 days 02:03:07.000000000,BROOKLYN
NYPD,2015-07-29 11:13:22,Jul,Blocked Driveway,0 days 06:16:06.000000000,BROOKLYN
NYPD,2015-10-03 10:58:56,Oct,Blocked Driveway,0 days 04:15:27.000000000,BROOKLYN
NYPD,2015-09-22 01:29:17,Sep,Blocked Driveway,0 days 00:50:13.000000000,BROOKLYN
NYPD,2015-05-14 22:42:07,May,Blocked Driveway,0 days 01:03:33.000000000,BROOKLYN
NYPD,2015-06-25 10:57:48,Jun,Blocked Driveway,0 days 01:27:57.000000000,BROOKLYN
NYPD,2015-05-21 13:48:28,May,Blocked Driveway,0 days 01:17:12.000000000,BROOKLYN
NYPD,2015-05-08 14:49:07,May,Blocked Driveway,0 days 07:37:36.000000000,BROOKLYN
NYPD,2015-05-08 11:12:24,May,Blocked Driveway,0 days 03:53:20.000000000,BROOKLYN
NYPD,2015-02-25 09:50:36,Feb,Blocked Driveway,0 days 07:40:24.000000000,BROOKLYN
NYPD,2015-09-08 08:38:48,Sep,Blocked Driveway,0 days 01:21:34.000000000,BROOKLYN
