Month,Borough,count
Apr,BRONX,6
Sep,BRONX,60
Oct,BRONX,16
Nov,BRONX,13
May,BRONX,13
Jul,BRONX,12
Feb,BRONX,4
Dec,BRONX,1
Jun,BRONX,20
Aug,BRONX,15
Jun,BROOKLYN,39
May,BROOKLYN,26
Jul,BROOKLYN,26
Apr,BROOKLYN,11
Nov,BROOKLYN,15
Sep,BROOKLYN,107
Feb,BROOKLYN,28
Jan,BROOKLYN,1
Mar,BROOKLYN,5
Oct,BROOKLYN,25
Dec,BROOKLYN,1
Aug,BROOKLYN,13
Mar,MANHATTAN,8
Jun,MANHATTAN,18
Oct,MANHATTAN,18
May,MANHATTAN,18
Sep,MANHATTAN,64
Feb,MANHATTAN,24
Apr,MANHATTAN,9
Aug,MANHATTAN,19
Dec,MANHATTAN,1
Nov,MANHATTAN,14
Jul,MANHATTAN,19
May,QUEENS,8
Mar,QUEENS,11
Nov,QUEENS,12
Apr,QUEENS,3
Aug,QUEENS,16
Jun,QUEENS,35
Jul,QUEENS,31
Jan,QUEENS,2
Feb,QUEENS,25
Sep,QUEENS,92
Oct,QUEENS,19
Apr,STATEN ISLAND,7
Sep,STATEN ISLAND,9
Jul,STATEN ISLAND,2
May,STATEN ISLAND,9
Feb,STATEN ISLAND,1
Nov,STATEN ISLAND,1
Oct,STATEN ISLAND,6
Aug,STATEN ISLAND,2
Jun,STATEN ISLAND,7
Oct,Unspecified,2
Jun,Unspecified,5
Jul,Unspecified,2
Apr,Unspecified,1
Feb,Unspecified,4
Dec,Unspecified,1
Aug,Unspecified,3
Nov,Unspecified,4
Sep,Unspecified,10
